ID,film,Year,Genre,RunTime,Description,IMDB_Score,Value_IMDB
126,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,Shalimar's former boyfriend shows up and is trying to recover a Faberge Egg that holds a microchip of extraordinary power.,6.1,Bad
127,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,"A mysterious tribunal finds Adam guilty of trying to dominate the world with his super-mutants and sentences him to death, sparking the rest of the team into life as they set out on a mission to save him.",5.7,Bad
128,Mutant X,(2001–2004),"Action,Adventure,Drama",42 min,"Shalimar becomes close to another feral when it's ""lust at first sight,"" but matters become complicated when her new boyfriend tries to find a cure for his condition.",6.4,Bad
129,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,The team go undercover to investigate unexplained deaths in a prison.,6.4,Bad
130,Mutant X,(2001–2004),"Action,Adventure,Drama",42 min,"Brennan is captured and falls under Eckhart's control, and forced to work against the New Mutants.",6.3,Bad
131,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,"When Jesse's life hangs in the balance, Brennan must connect to him and lead him through past memories they've shared in order to save his life.",6.5,Bad
132,Mutant X,(2001–2004),"Action,Adventure,Drama",42 min,"Jesse falls in love with a computer hacker, who Eckhart wants to ""procure"" to use to corrupt the public computer news channels against New Mutants and to the GSA's benefit.",6.1,Bad
133,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,"The team are on the trail of a pyromaniac mutant who is causing mayhem, and Shalimar is forced to set aside her fear of fire to save Emma",6.4,Bad
134,Mutant X,(2001–2004),"Action,Adventure,Drama",42 min,"Emma reunites with an old friend who possesses telecyber powers. The reunion turns dangerous, however, when Michelle tries to turn Emma over to the GSA.",4.0,Bad
135,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,"In the exciting season opener, the surviving members of Mutant X emerge from a deadly explosion to meet the beautiful and mysterious Lexa, who makes them begin to question fundamental assumptions about their world.",6.7,Bad
136,Mutant X,(2001–2004),"Action,Adventure,Drama",42 min,A New Mutant is kidnapped from his family and Mutant X set out to recover him and find out what Eckhart's interest in him is.,6.4,Bad
137,Mutant X,(2001–2004),"Action,Adventure,Drama",42 min,The team encounters a mutant who kills other mutants by draining their energy. And can also come back to life after being killed. He eventually captures Emma.,6.5,Bad
138,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,Shalimar reluctantly agrees to contact her estranged father when the team learn his company is involved in genetic testing and manipulation.,5.7,Bad
139,Mutant X,(2001–2004),"Action,Adventure,Drama",42 min,"Eckhart seeks a mutant who can absorb energy, one who Brennan becomes romantically involved with.",6.7,Bad
140,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,When a plague that only affects mutants is raging. Adam and Eckhart agree to work together to find a cure. And helping Adam is a mutant who is impervious to harm who thinks of it more as a curse rather than a blessing.,6.5,Bad
141,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,"A mutant who has the ability to inter phase with any computer with his mind, who is paralyzed after an encounter with the team, takes over Sanctuary's computers. Shalimar and Lexa get out, ...                See full summary »",5.6,Bad
142,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,"A military plane is shot down behind enemy lines, prompting the team to make a desperate bid to recover the secret government weapon that is hidden on board, before innocent lives are threatened.",6.3,Bad
143,Mutant X,(2001–2004),"Action,Adventure,Drama",42 min,A mutant with telepathic abilities who can make people experience mentally anything he wants manages to get into the minds of Mutant X. Now he is making them experience their worse fears. ...                See full summary »,7.1,Good
144,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,The team step in to protect a main prosecution witness whose life has been threatened prior to the trial.,7.4,Good
145,Mutant X,(2001–2004),"Action,Adventure,Drama",43 min,The team wrestle to contain Brennan's out-of-control mutant powers when he puts the mission to protect a senator's daughter in danger.,7.6,Good
